topic,content
water,Avoid wading in floodwaters as they may be contaminated and contain debris. Downed power lines can electrify water.
alert,"Sign up for emergency alerts from local agencies. Know what alerts mean before a flood occurs. Warnings and evacuations are key factors in reducing loss of life. Even with little time, a warning allows people to find safer shelter."
emergency,"Have food, water, and emergency supplies for several days. Consider medication, batteries, and phone chargers."
drive,"Do not drive into underground roads or tunnels during a flood. Roads may be unsafe due to damage. Do not attempt to cross floodwaters. Turn around, don’t drown! Floodwaters may obscure road conditions, and even a foot of moving water can sweep a vehicle away. Never drive around barriers blocking flooded roads. Do not drive into underground roads or tunnels during a flood. These areas can fill quickly, trapping occupants inside vehicles. If floodwaters rapidly rise around your vehicle, exit immediately and seek higher ground. If water is rising inside, climb onto the roof and signal for help. Stay inside if swept away by strong currents. People often underestimate the risk of driving through floodwaters. Vehicles, especially SUVs and trucks, can float in just two feet of water. Studies show that 63% of flood-related fatalities with known locations occur in vehicles. Texas alone averages 15 vehicle-related drowning deaths per year due to flooded roads. Over half of U.S. flood fatalities involve people driving into floodwaters, either drowning in vehicles or perishing after escape."
return,"Return only when officials say it is safe. Check drinking water safety with local health authorities. Return only when officials say it is safe. Check drinking water safety with local health authorities.
Floodwaters can contain sharp objects, sewage, bacteria, and hazardous chemicals. Avoid contact."
return,"Floodwaters can contain sharp objects, sewage, bacteria, and hazardous chemicals. Avoid contact."
poison,Use generators outdoors and at least 20 feet away from windows and doors to prevent poisoning.
shelter,"Know the risks of sheltering in place during a flood. Factors such as floodwater depth, rise rate, structural integrity of the shelter, and the ability to evacuate to higher levels influence safety. The stability of a shelter during a flood is a key factor in survival. Buildings with weak structures or poor compliance with building codes may not be safe for shelter-in-place strategies."
strategy,"Vertical protection strategies involve moving to higher elevation within a threatened area. These strategies are effective for hazards with short warnings, using natural (hills, trees) or manmade structures (multi-story buildings, vertical shelters). Some self-protective behaviors during floods include moving to rooftops, climbing trees, or seeking higher ground. Reports from past disasters show these behaviors have helped people survive."
disability,"Sheltering in place may be unsuitable for people with limited mobility, disabilities, or medical conditions requiring ongoing care."
electricity,Standing water near electrical lines or equipment is dangerous. Electrical injuries may occur due to flooding.
case,"During Hurricane Katrina, many tourists evacuated vertically to high-rise hotels in New Orleans due to canceled flights and lack of transportation. The hurricane caused around 1,100 deaths, with many fatalities due to drowning and entrapment in attics. In North Carolina during Hurricane Floyd (1999), 82.5% of flood-related vehicle crashes were caused by hitting floodwater, leading to 14 fatalities."
vehicle,"Vehicles can lose stability during floods due to buoyancy and sliding. Floodwaters can turn vehicles into dangerous debris, increasing damage to buildings and blocking critical infrastructure like bridges. The two main ways vehicles lose stability in a flood are floating (when buoyancy overcomes weight) and sliding (when water drag reduces tire traction). Once a vehicle starts floating, it becomes uncontrollable."
urban,"Urban flooding can make nearly all main roads impassable for vehicles. During the 2021 Zhengzhou flood in China, modeling showed extreme flood risks for vehicles, highlighting the need to abandon vehicles and escape to safety."
pet,"Plan where you will evacuate—family, friends, hotels, or public shelters. Ensure the destination accommodates all household members, including pets and individuals with special needs."
live,"Plan where you will evacuate—family, friends, hotels, or public shelters. Ensure the destination accommodates all household members, including pets and individuals with special needs."
death,"Slow-onset floods have lower mortality rates, while flash floods have much higher death rates, comparable to earthquakes and windstorms. Most flash flood fatalities (75.7%) occur when people enter floodwaters in vehicles or on foot for various reasons, including evacuation and work."
